timestamp,Kaggle Score,model,K-Fold,feature_importance_split,feature_importance_gain,params,features,description,os_full
2026-06-07 10:21:50,0.96328,LightGBM,"Mean BalAcc = 0.9634 ± 0.0011
Min = 0.9620
Max = 0.9645
OOF BalAcc = 0.9634
Time (sec) = 36.3","redshift = 6607
delta = 6522
alpha = 6479
u = 5634
z = 5291
g = 4774
r = 4675
i = 4248
spectral_type = 386
galaxy_population = 381","u = 5.51B (56.2%)
redshift = 959.12M (9.8%)
r = 812.75M (8.3%)
z = 674.57M (6.9%)
i = 644.66M (6.6%)
alpha = 619.51M (6.3%)
delta = 376.97M (3.8%)
g = 194.50M (2.0%)
galaxy_population = 17.67M (0.2%)
spectral_type = 603.13K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8",base,Базовый набор признаков. Стабильный baseline. Доминирует u (56%).,MacOS
2026-06-07 10:28:59,0.96357,LightGBM,"Mean BalAcc = 0.9621 ± 0.0001
Min = 0.9619
Max = 0.9622
OOF BalAcc = 0.9621
Time (sec) = 37.4","alpha = 6604
redshift = 6444
delta = 6407
u = 5237
g = 5027
z = 5005
r = 4343
i = 3931
redshift_log = 1194
spectral_type = 405
galaxy_population = 357","i = 274.15M (23.9%)
g = 184.21M (16.0%)
redshift = 158.46M (13.8%)
alpha = 136.40M (11.9%)
delta = 121.67M (10.6%)
r = 113.82M (9.9%)
z = 78.71M (6.8%)
u = 67.18M (5.8%)
redshift_log = 11.50M (1.0%)
galaxy_population = 2.12M (0.2%)
spectral_type = 860.02K (0.1%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
redshift_log",Добавлен redshift_log. Дублирование с redshift вызвало нестабильность важности (u упал до 6%). K-Fold ухудшился.,MacOS
2026-06-07 10:40:55,0.96243,LightGBM,"Mean BalAcc = 0.9640 ± 0.0008
Min = 0.9631
Max = 0.9649
OOF BalAcc = 0.9640
Time (sec) = 34.9","redshift_log = 6733
alpha = 6626
delta = 6307
u = 5530
g = 5108
z = 5046
r = 4757
i = 4116
galaxy_population = 394
spectral_type = 374","delta = 7.38B (42.0%)
redshift_log = 4.03B (22.9%)
u = 2.89B (16.4%)
r = 1.17B (6.7%)
z = 1.04B (5.9%)
g = 434.99M (2.5%)
alpha = 315.20M (1.8%)
i = 289.80M (1.6%)
galaxy_population = 40.87M (0.2%)
spectral_type = 932.56K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
redshift_log (drop redshift)","Замена redshift на redshift_log. Kaggle упал, K-Fold вырос. Подозрительный перекос: delta доминирует (42%), вероятно, переобучение на координатах.",MacOS
2026-06-07 10:55:16,0.96256,LightGBM,"Mean BalAcc = 0.9628 ± 0.0015
Min = 0.9607
Max = 0.9643
OOF BalAcc = 0.9628
Time (sec) = 36.0","redshift = 6499
delta = 6349
alpha = 6247
u = 5355
z = 4572
g = 4345
r = 3984
color_gr = 3667
i = 3551
galaxy_population = 350
spectral_type = 78","r = 715.35M (21.7%)
g = 652.76M (19.8%)
redshift = 599.46M (18.2%)
alpha = 470.03M (14.2%)
z = 275.46M (8.3%)
color_gr = 204.93M (6.2%)
u = 182.06M (5.5%)
delta = 109.70M (3.3%)
i = 88.47M (2.7%)
galaxy_population = 1.64M (0.0%)
spectral_type = 353.52K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
color_gr",Добавлен color_gr. Оба K-Fold и Kaggle ухудшились. Важность u рухнула с 56% до 5.5% — дублирование информации (color_gr = g - r) запутало модель.,MacOS
2026-06-07 11:02:49,0.96309,LightGBM,"Mean BalAcc = 0.9634 ± 0.0012
Min = 0.9618
Max = 0.9648
OOF BalAcc = 0.9634
Time (sec) = 36.3","redshift = 6788
delta = 6217
u = 5230
z = 4765
g = 4699
alpha = 4657
r = 4177
i = 3911
coord_dist = 3771
spectral_type = 398
galaxy_population = 384","alpha = 544.66M (31.9%)
coord_dist = 401.56M (23.5%)
redshift = 351.62M (20.6%)
i = 95.70M (5.6%)
r = 73.49M (4.3%)
u = 70.66M (4.1%)
delta = 63.53M (3.7%)
g = 55.73M (3.3%)
z = 48.53M (2.8%)
spectral_type = 841.85K (0.0%)
galaxy_population = 525.02K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
coord_dist","Добавлен coord_dist. K-Fold не изменился (0.9634), Kaggle в пределах шума. Важность перераспределилась: alpha вырос до 31.9%, coord_dist занял 2-е место (23.5%), u рухнул до 4.1%. Признак дублирует информацию от alpha/delta, прироста не даёт.",MacOS
2026-06-07 11:13:59,0.95049,LightGBM,"Mean BalAcc = 0.9495 ± 0.0002
Min = 0.9493
Max = 0.9497
OOF BalAcc = 0.9495
Time (sec) = 34.4","redshift = 8060
u = 7903
z = 7371
g = 7283
r = 6850
i = 6442
galaxy_population = 554
spectral_type = 537","galaxy_population = 797.27M (52.5%)
z = 423.23M (27.9%)
i = 109.25M (7.2%)
r = 54.54M (3.6%)
u = 49.24M (3.2%)
redshift = 45.77M (3.0%)
g = 37.97M (2.5%)
spectral_type = 980.11K (0.1%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
drop alpha
drop delta","Удалены alpha и delta. Значительное падение: Kaggle -0.01279 (0.95049), K-Fold -0.0139 (0.9495). galaxy_population доминирует (52.5%), но не компенсирует потерю координат. Координаты критически важны.",MacOS
2026-06-07 12:52:09,,LightGBM,"Mean BalAcc = 0.9627 ± 0.0009
Min = 0.9615
Max = 0.9637
OOF BalAcc = 0.9627
Time (sec) = 43.8","delta = 6905
alpha = 6802
redshift = 6009
u = 5596
z = 5136
g = 4946
r = 4614
i = 4246
spectral_type = 383
galaxy_population = 363","delta = 655.49M (34.1%)
g = 632.15M (32.9%)
z = 184.02M (9.6%)
u = 161.22M (8.4%)
i = 154.23M (8.0%)
r = 50.41M (2.6%)
redshift = 48.26M (2.5%)
alpha = 35.79M (1.9%)
spectral_type = 603.17K (0.0%)
galaxy_population = 453.69K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","Performance test:
Used GPU
base","Тест на GPU (Windows). K-Fold 0.9627. Важность нестабильна: delta доминирует (34.1%), g на 2-м месте (32.9%), u упал до 8.4%. Недетерминированность GPU.",Windows-10-10.0.26200-SP0
2026-06-07 12:55:09,,LightGBM,"Mean BalAcc = 0.9636 ± 0.0009
Min = 0.9624
Max = 0.9645
OOF BalAcc = 0.9636
Time (sec) = 24.1","delta = 6686
redshift = 6549
alpha = 6514
u = 5543
z = 5241
g = 4785
r = 4701
i = 4207
spectral_type = 398
galaxy_population = 375","u = 5.54B (57.8%)
redshift = 975.72M (10.2%)
r = 746.02M (7.8%)
z = 622.07M (6.5%)
i = 585.72M (6.1%)
alpha = 571.96M (6.0%)
delta = 413.83M (4.3%)
g = 99.93M (1.0%)
galaxy_population = 36.71M (0.4%)
spectral_type = 603.21K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8",base,"Тест на CPU (Windows). K-Fold 0.9636. Важность стабильна: u доминирует (57.8%), как в baseline на macOS. CPU даёт детерминированный результат.",Windows-10-10.0.26200-SP0
2026-06-07 12:55:55,,LightGBM,"Mean BalAcc = 0.9636 ± 0.0009
Min = 0.9624
Max = 0.9645
OOF BalAcc = 0.9636
Time (sec) = 26.4","delta = 6686
redshift = 6549
alpha = 6514
u = 5543
z = 5241
g = 4785
r = 4701
i = 4207
spectral_type = 398
galaxy_population = 375","u = 5.54B (57.8%)
redshift = 975.72M (10.2%)
r = 746.02M (7.8%)
z = 622.07M (6.5%)
i = 585.72M (6.1%)
alpha = 571.96M (6.0%)
delta = 413.83M (4.3%)
g = 99.93M (1.0%)
galaxy_population = 36.71M (0.4%)
spectral_type = 603.21K (0.0%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8",base,Повторный тест на CPU (Windows). K-Fold 0.9636. Результат бит-в-бит идентичен предыдущему (u=57.8%). Подтверждение полной детерминированности CPU при одинаковом random_state.,Windows-10-10.0.26200-SP0
2026-06-07 12:57:24,,LightGBM,"Mean BalAcc = 0.9613 ± 0.0017
Min = 0.9593
Max = 0.9634
OOF BalAcc = 0.9613
Time (sec) = 44.2","delta = 6662
alpha = 6641
redshift = 6425
u = 5485
z = 5343
g = 4815
r = 4547
i = 4344
galaxy_population = 371
spectral_type = 367","g = 360.33M (38.7%)
u = 242.70M (26.1%)
r = 102.12M (11.0%)
alpha = 93.57M (10.1%)
redshift = 67.17M (7.2%)
z = 28.02M (3.0%)
i = 18.81M (2.0%)
delta = 15.66M (1.7%)
galaxy_population = 1.20M (0.1%)
spectral_type = 603.49K (0.1%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","Performance test:
Used GPU
base","Повторный тест на GPU (Windows). K-Fold 0.9613. Важность снова другая: g доминирует (38.7%), u на 2-м месте (26.1%). GPU недетерминирован в feature importance из-за неассоциативности float-операций и atomicAdd в гистограммах.",Windows-10-10.0.26200-SP0
